LOST DUTCHMAN'S - STANTON CAMP SITE MASTER UPDATE,,,,,,,
,,,,,,,
,,,,,,,
,,,,LDMA Member,,,Non-Member
CAMP,Site #,Special Type,Site Type,Monthly Rate,Daily Rate,,Daily Rate
Stanton,39,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,40,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,41,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,42,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,43,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,44,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,45,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,46,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,47,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,48,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,49,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,50,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,51,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,52,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,53,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,54,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,55,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,56,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,57,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,58,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,59,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,60,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,61,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,62,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,63,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,64,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,65,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,66,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,67,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,68,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,69,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,70,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,71,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,73,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,75,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,77,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,78,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,79,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,80,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,81,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
