camp_slug,camp_name,site_code,special_type,site_type,member_rate_monthly,member_rate_daily,non_member_rate_daily,sort_order
stanton-arizona,Stanton,84,,30 Amp - Full Hook-Up,510,19,45,269
stanton-arizona,Stanton,85,,30 Amp - Full Hook-Up,510,19,45,270
stanton-arizona,Stanton,86,,30 Amp - Full Hook-Up,510,19,45,271
stanton-arizona,Stanton,87,,30 Amp - Full Hook-Up,510,19,45,272
stanton-arizona,Stanton,88,,30 Amp - Full Hook-Up,510,19,45,273
stanton-arizona,Stanton,89,Premium,30 Amp - Full Hook-Up,510,19,45,274
stanton-arizona,Stanton,90,Premium,30 Amp - Full Hook-Up,510,19,45,275
stanton-arizona,Stanton,91,Premium,30 Amp - Full Hook-Up,510,19,45,276
stanton-arizona,Stanton,92,Premium,30 Amp - Full Hook-Up,510,19,45,277
stanton-arizona,Stanton,93,Premium,30 Amp - Full Hook-Up,510,19,45,278
stanton-arizona,Stanton,94,Premium,30 Amp - Full Hook-Up,510,19,45,279
stanton-arizona,Stanton,95,,50 Amp - Full Hook-Up,540,20,55,280
stanton-arizona,Stanton,96,,50 Amp - Full Hook-Up,540,20,55,281
stanton-arizona,Stanton,97,,50 Amp - Full Hook-Up,540,20,55,282
stanton-arizona,Stanton,98,,50 Amp - Full Hook-Up,540,20,55,283
stanton-arizona,Stanton,99,,50 Amp - Full Hook-Up,540,20,55,284
stanton-arizona,Stanton,100,,50 Amp - Full Hook-Up,540,20,55,285
stanton-arizona,Stanton,101,Premium,30 Amp - Full Hook-Up,510,19,45,286
stanton-arizona,Stanton,102,,50 Amp - Full Hook-Up,540,20,55,287
stanton-arizona,Stanton,103,Premium,50 Amp - Full Hook-Up,600,22,55,288
stanton-arizona,Stanton,104,,30 Amp - Full Hook-Up,510,19,45,289
stanton-arizona,Stanton,105,,30 Amp - Full Hook-Up,510,19,45,290
stanton-arizona,Stanton,106,,30 Amp - Full Hook-Up,510,19,45,291
stanton-arizona,Stanton,107,,30 Amp - Full Hook-Up,510,19,45,292
stanton-arizona,Stanton,108,,30 Amp - Full Hook-Up,510,19,45,293
stanton-arizona,Stanton,109,,30 Amp - Full Hook-Up,510,19,45,294
stanton-arizona,Stanton,110,,30 Amp - Full Hook-Up,510,19,45,295
stanton-arizona,Stanton,111,,30 Amp - Full Hook-Up,510,19,45,296
stanton-arizona,Stanton,112,,30 Amp - Full Hook-Up,510,19,45,297
stanton-arizona,Stanton,113,,30 Amp - Full Hook-Up,510,19,45,298
stanton-arizona,Stanton,114,,30 Amp - Full Hook-Up,510,19,45,299
stanton-arizona,Stanton,115,,30 Amp - Full Hook-Up,510,19,45,300
stanton-arizona,Stanton,116,,30 Amp - Full Hook-Up,510,19,45,301
stanton-arizona,Stanton,117,,30 Amp - Full Hook-Up,510,19,45,302
stanton-arizona,Stanton,118,,30 Amp - Full Hook-Up,510,19,45,303
stanton-arizona,Stanton,119,,30 Amp - Full Hook-Up,510,19,45,304
stanton-arizona,Stanton,120,,30 Amp - Full Hook-Up,510,19,45,305
stanton-arizona,Stanton,121,,30 Amp - Full Hook-Up,510,19,45,306
stanton-arizona,Stanton,122,,30 Amp - Full Hook-Up,510,19,45,307
stanton-arizona,Stanton,123,,30 Amp - Full Hook-Up,510,19,45,308
stanton-arizona,Stanton,124,,30 Amp - Full Hook-Up,510,19,45,309
stanton-arizona,Stanton,125,,30 Amp - Full Hook-Up,510,19,45,310
stanton-arizona,Stanton,126,,30 Amp - Full Hook-Up,510,19,45,311
stanton-arizona,Stanton,127,,30 Amp - Full Hook-Up,510,19,45,312
stanton-arizona,Stanton,128,,30 Amp - Full Hook-Up,510,19,45,313
stanton-arizona,Stanton,129,,30 Amp - Full Hook-Up,510,19,45,314
stanton-arizona,Stanton,130,Premium,50 Amp - Full Hook-Up,600,22,55,315
stanton-arizona,Stanton,132,Premium,50 Amp - Full Hook-Up,600,22,55,316
stanton-arizona,Stanton,500,,30 Amp - Elec Only,300,12,30,317
stanton-arizona,Stanton,501,,30 Amp - Elec Only,300,12,30,318
stanton-arizona,Stanton,502,,30 Amp - Elec Only,300,12,30,319
stanton-arizona,Stanton,503,,30 Amp - Elec Only,300,12,30,320
stanton-arizona,Stanton,504,,30 Amp - Elec Only,300,12,30,321
stanton-arizona,Stanton,505,,30 Amp - Elec Only,300,12,30,322
stanton-arizona,Stanton,506,,30 Amp - Elec Only,300,12,30,323
stanton-arizona,Stanton,507,,30 Amp - Elec Only,300,12,30,324
stanton-arizona,Stanton,508,,30 Amp - Elec Only,300,12,30,325
stanton-arizona,Stanton,A-01,,Dry Camping,150,6,15,326
stanton-arizona,Stanton,A-02,,Dry Camping,150,6,15,327
stanton-arizona,Stanton,A-03,,Dry Camping,150,6,15,328
stanton-arizona,Stanton,A-04,,Dry Camping,150,6,15,329
stanton-arizona,Stanton,A-05,,Dry Camping,150,6,15,330
stanton-arizona,Stanton,A-06,,Dry Camping,150,6,15,331
stanton-arizona,Stanton,A-07,,Dry Camping,150,6,15,332
stanton-arizona,Stanton,A-08,,Dry Camping,150,6,15,333
stanton-arizona,Stanton,A-09,,Dry Camping,150,6,15,334
stanton-arizona,Stanton,A-10,,Dry Camping,150,6,15,335
stanton-arizona,Stanton,A-11,,Dry Camping,150,6,15,336
stanton-arizona,Stanton,A-12,,Dry Camping,150,6,15,337
stanton-arizona,Stanton,A-13,,Dry Camping,150,6,15,338
stanton-arizona,Stanton,A-14,,Dry Camping,150,6,15,339
stanton-arizona,Stanton,A-15,,Dry Camping,150,6,15,340
stanton-arizona,Stanton,A-16,,Dry Camping,150,6,15,341
stanton-arizona,Stanton,A-17,,Dry Camping,150,6,15,342
stanton-arizona,Stanton,A-18,,Dry Camping,150,6,15,343
stanton-arizona,Stanton,A-19,,Dry Camping,150,6,15,344
stanton-arizona,Stanton,A-20,,Dry Camping,150,6,15,345
stanton-arizona,Stanton,A-21,,Dry Camping,150,6,15,346
stanton-arizona,Stanton,A-22,,Dry Camping,150,6,15,347
stanton-arizona,Stanton,A-23,,Dry Camping,150,6,15,348
stanton-arizona,Stanton,A-24,,Dry Camping,150,6,15,349
stanton-arizona,Stanton,A-25,,Dry Camping,150,6,15,350
stanton-arizona,Stanton,T-01,,Dry Camping,150,6,15,351
stanton-arizona,Stanton,T-02,,Dry Camping,150,6,15,352
stanton-arizona,Stanton,T-03,,Dry Camping,150,6,15,353
stanton-arizona,Stanton,T-04,,Dry Camping,150,6,15,354
stanton-arizona,Stanton,T-05,,Dry Camping,150,6,15,355
stanton-arizona,Stanton,T-06,,Dry Camping,150,6,15,356
stanton-arizona,Stanton,T-07,,Dry Camping,150,6,15,357
stanton-arizona,Stanton,T-08,,Dry Camping,150,6,15,358
stanton-arizona,Stanton,T-09,,Dry Camping,150,6,15,359
stanton-arizona,Stanton,T-10,,Dry Camping,150,6,15,360
stanton-arizona,Stanton,T-11,,Dry Camping,150,6,15,361
vein-mountain-north-carolina,Vein Mountain,LC-01,Premium,50 Amp w/ Water,450,17,40,362
